source_page,year,pdf_url,local_path,bytes,sha256
Council,2016,https://commercialpointohio.gov/CPMiscForms/2016-Annual-Drinking-Water-Quality-Report.pdf,Council/2016/2016-Annual-Drinking-Water-Quality-Report.pdf,913542,8e5bb1c79f3aa8be310d7b0802db77815cc9951ebf064d6cc3bcf4371f3cc98e
Council,2017,https://commercialpointohio.gov/CPMiscForms/2017-VOCP-Water-Quality-Report.pdf,Council/2017/2017-VOCP-Water-Quality-Report.pdf,1012105,b9deee064b700b071d77fe5fc49956576e07d1729f6b0ce81bca4710a8749d35
Council,2018,https://commercialpointohio.gov/CPMiscForms/2018-VOCP-Water-Quality-Report.pdf,Council/2018/2018-VOCP-Water-Quality-Report.pdf,1041684,7e96d4c3817cbfd22a57b8a30f7dd7cacc1e4df3c9e86fa62107501fcbc06542
Council,2019,https://www.commercialpointohio.gov/CPMiscForms/2019.pdf,Council/2019/2019.pdf,1038208,3171deb47367eb83cf4669a863bbf52ef9df2a55ecf1b3544b42242997538a7c
Council,2020,https://www.commercialpointohio.gov/CPMiscForms/CCR2020.pdf,Council/2020/CCR2020.pdf,1642389,ab6d9d02595f3f7619aad56bd6cfab898be4f996e5e79af35e63497b208ca31f
Council,2021,https://www.commercialpointohio.gov/CPMiscForms/CCR%202021.pdf,Council/2021/CCR_202021.pdf,351246,941129273e35ee4769540a50238ed23f5f38f434b1a7156f8e52c3e8f7ed4b00
Council,2022,https://www.commercialpointohio.gov/CPMiscForms/2022-CCR.pdf,Council/2022/2022-CCR.pdf,229924,b1c771ef73f52b675fdd814bc6825f1d030f14ae6a87b2c68664dc905865073d
Council,2023,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/2023-Water-Quality-Report.pdf,Council/2023/2023-Water-Quality-Report.pdf,1857528,378e9993f9746a3b870edacadad782c2f01da4f2ed839789ca4e56b7b90ac353
Council,2024,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/CCR-2024.pdf,Council/2024/CCR-2024.pdf,249642,99cf9f5c6df278c9505df8b8f3a330dcfa8c26ea1f64d26b85e114271e2f2367
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/02/1-13-25-council.pdf,Council/2025/1-13-25-council.pdf,3392185,b827a4ab440e26e89fe656bce35d4a98674dd3199b3992351e98424137962e29
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/03/council-meeting-2-3-25.pdf,Council/2025/council-meeting-2-3-25.pdf,3963008,940c5fa6c614d05ba308f42e05b7cd93dc7710923c5ca7e3e574cef69c353407
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/04/3-3-25-council.pdf,Council/2025/3-3-25-council.pdf,2571974,67e57b65e1b346d45e3be1931759df7f4e93f72adb57cb242449ff3a4d320b4d
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/05/Council-4-7-25.pdf,Council/2025/Council-4-7-25.pdf,2806185,8e7c38247921643ca2935d32a09fbe36938153af1ee9db4391e8c1fd8ac65225
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/5-5-25-COUNCIL.pdf,Council/2025/5-5-25-COUNCIL.pdf,2599214,39395a0fb964f248e2ef5bad7350fb40113dbe134014cd2eb6efc51808a77926
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/08/6-2-25-council.pdf,Council/2025/6-2-25-council.pdf,2189348,221fc13287e95eae488fee9ab3e97e86cc7c369d159038f5b065bdcea0eacb0e
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/11/7-7-2025-council.pdf,Council/2025/7-7-2025-council.pdf,2522600,df6e9469625c06d61c5030f368296455c476be859b936cb00415fc4c741c64cc
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/11/8-4-2025-council.pdf,Council/2025/8-4-2025-council.pdf,1945168,c68a41ba63105985f84ac352634c7aedf38bba378212d189ce671af3232f5c40
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/10/9-8-25.pdf,Council/2025/9-8-25.pdf,1735932,c4d66dbe82bf843b8005aab4888bcf4f84ce1ddc132baf899dd14bd6a1fb3e88
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/11/10-6-2025-council.pdf,Council/2025/10-6-2025-council.pdf,4350686,965743bf873ed15f6329f81114cd2f88da8abb010e0cb6038d1ff8bfc6778abd
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/12/Council-Meeting-Nov-3.pdf,Council/2025/Council-Meeting-Nov-3.pdf,2308929,9227f230be092e951bb988fb3e44fbf5fab8c803b51ef3fa92d1922302254342
Council,2025,http://www.commercialpointohio.gov/wp-content/uploads/2026/02/12-1-2025.pdf,Council/2025/12-1-2025.pdf,2453109,719602f01fc770cf405391ab119e92586ebf6e2b055ab1bb6b3e052bb8967fde
Council,2026,http://www.commercialpointohio.gov/wp-content/uploads/2026/02/1-5-2026-1.pdf,Council/2026/1-5-2026-1.pdf,2862768,358a12cc51d04efd6d32c25834d62437136e5f2c5ee8c681206bb3d35b3835f4
